Country,Year,Num_of_Tourists,Longitude,Latitude
Singapore,2022,5222991,103.819839,1.352083
Indonesia,2022,1481739,113.921327,-0.789275
Thailand,2022,715528,100.992541,15.870032
Brunei Darussalam,2022,301757,114.727669,4.535277
China,2022,212603,104.195397,35.86166
India,2022,324548,78.96288,20.593684
Japan,2022,83309,138.252924,36.204824
Philippines,2022,159442,121.774017,12.879721
Saudi Arabia,2022,35980,45.079162,23.885942
United States of America,2022,108141,-95.712891,37.09024
Canada,2022,30656,-106.346771,56.130366
Australia,2022,152265,133.775136,-25.274398
New Zealand,2022,18238,174.885971,-40.900557
United Kingdom,2022,134667,-3.435973,55.378051
Germany,2022,57780,10.451526,51.165691
Netherlands,2022,31070,5.291266,52.132633
Singapore,2021,16308,103.819839,1.352083
Indonesia,2021,11025,113.921327,-0.789275
Thailand,2021,59607,100.992541,15.870032
Brunei Darussalam,2021,773,114.727669,4.535277
China,2021,7701,104.195397,35.86166
India,2021,3916,78.96288,20.593684
Japan,2021,3114,138.252924,36.204824
Philippines,2021,2317,121.774017,12.879721
Saudi Arabia,2021,687,45.079162,23.885942
United States of America,2021,2030,-95.712891,37.09024
Canada,2021,471,-106.346771,56.130366
Australia,2021,1321,133.775136,-25.274398
New Zealand,2021,196,174.885971,-40.900557
United Kingdom,2021,2676,-3.435973,55.378051
Germany,2021,824,10.451526,51.165691
Netherlands,2021,466,5.291266,52.132633
Singapore,2020,1545255,103.819839,1.352083
Indonesia,2020,711723,113.921327,-0.789275
Thailand,2020,394413,100.992541,15.870032
Brunei Darussalam,2020,136020,114.727669,4.535277
China,2020,405149,104.195397,35.86166
India,2020,155883,78.96288,20.593684
Japan,2020,74383,138.252924,36.204824
Philippines,2020,66051,121.774017,12.879721
Saudi Arabia,2020,23390,45.079162,23.885942
United States of America,2020,48810,-95.712891,37.09024
Canada,2020,16631,-106.346771,56.130366
Australia,2020,72680,133.775136,-25.274398
New Zealand,2020,8794,174.885971,-40.900557
United Kingdom,2020,63868,-3.435973,55.378051
Germany,2020,27458,10.451526,51.165691
Netherlands,2020,14486,5.291266,52.132633
Singapore,2019,10163882,103.819839,1.352083
Indonesia,2019,3623277,113.921327,-0.789275
Thailand,2019,1884306,100.992541,15.870032
Brunei Darussalam,2019,1216123,114.727669,4.535277
China,2019,3114257,104.195397,35.86166
India,2019,735309,78.96288,20.593684
Japan,2019,424694,138.252924,36.204824
Philippines,2019,421908,121.774017,12.879721
Saudi Arabia,2019,121444,45.079162,23.885942
United States of America,2019,269928,-95.712891,37.09024
Canada,2019,87568,-106.346771,56.130366
Australia,2019,368271,133.775136,-25.274398
New Zealand,2019,50140,174.885971,-40.900557
United Kingdom,2019,346485,-3.435973,55.378051
Germany,2019,130221,10.451526,51.165691
Netherlands,2019,82110,5.291266,52.132633
Singapore,2018,10615986,103.819839,1.352083
Indonesia,2018,3277689,113.921327,-0.789275
Thailand,2018,1914692,100.992541,15.870032
Brunei Darussalam,2018,1382031,114.727669,4.535277
China,2018,2944133,104.195397,35.86166
India,2018,600311,78.96288,20.593684
Japan,2018,394540,138.252924,36.204824
Philippines,2018,396062,121.774017,12.879721
Saudi Arabia,2018,112263,45.079162,23.885942
United States of America,2018,253384,-95.712891,37.09024
Canada,2018,84705,-106.346771,56.130366
Australia,2018,351500,133.775136,-25.274398
New Zealand,2018,50698,174.885971,-40.900557
United Kingdom,2018,361335,-3.435973,55.378051
Germany,2018,128895,10.451526,51.165691
Netherlands,2018,81651,5.291266,52.132633
Singapore,2017,12441713,103.819839,1.352083
Indonesia,2017,2796570,113.921327,-0.789275
Thailand,2017,1836522,100.992541,15.870032
Brunei Darussalam,2017,1660506,114.727669,4.535277
China,2017,2281666,104.195397,35.86166
India,2017,552739,78.96288,20.593684
Japan,2017,392777,138.252924,36.204824
Philippines,2017,370559,121.774017,12.879721
Saudi Arabia,2017,100549,45.079162,23.885942
United States of America,2017,198203,-95.712891,37.09024
Canada,2017,67056,-106.346771,56.130366
Australia,2017,351232,133.775136,-25.274398
New Zealand,2017,55923,174.885971,-40.900557
United Kingdom,2017,358818,-3.435973,55.378051
Germany,2017,109816,10.451526,51.165691
Netherlands,2017,75885,5.291266,52.132633
Singapore,2016,13272961,103.819839,1.352083
Indonesia,2016,3049964,113.921327,-0.789275
Thailand,2016,1780800,100.992541,15.870032
Brunei Darussalam,2016,1391016,114.727669,4.535277
China,2016,2124942,104.195397,35.86166
India,2016,638578,78.96288,20.593684
Japan,2016,413768,138.252924,36.204824
Philippines,2016,417446,121.774017,12.879721
Saudi Arabia,2016,123878,45.079162,23.885942
United States of America,2016,217075,-95.712891,37.09024
Canada,2016,72337,-106.346771,56.130366
Australia,2016,377727,133.775136,-25.274398
New Zealand,2016,53352,174.885971,-40.900557
United Kingdom,2016,400269,-3.435973,55.378051
Germany,2016,130276,10.451526,51.165691
Netherlands,2016,72200,5.291266,52.132633
Singapore,2015,12930754,103.819839,1.352083
Indonesia,2015,2788033,113.921327,-0.789275
Thailand,2015,1343569,100.992541,15.870032
Brunei Darussalam,2015,1133555,114.727669,4.535277
China,2015,1677163,104.195397,35.86166
India,2015,722141,78.96288,20.593684
Japan,2015,483569,138.252924,36.204824
Philippines,2015,554917,121.774017,12.879721
Saudi Arabia,2015,99754,45.079162,23.885942
United States of America,2015,237768,-95.712891,37.09024
Canada,2015,79557,-106.346771,56.130366
Australia,2015,486948,133.775136,-25.274398
New Zealand,2015,60846,174.885971,-40.900557
United Kingdom,2015,401019,-3.435973,55.378051
Germany,2015,144910,10.451526,51.165691
Netherlands,2015,84584,5.291266,52.132633
