Num_of_Tourists,Year,Average_Currency
1125425,Jan-15,2.676709524
991529,Feb-15,2.65115625
1124697,Mar-15,2.672918182
1015092,Apr-15,2.691709091
1135754,May-15,2.699747368
999658,Jun-15,2.775522727
1096513,Jul-15,2.792281818
1061084,Aug-15,2.90118
1080906,Sep-15,3.04357
1021390,Oct-15,3.041104762
990371,Nov-15,3.05312
1288701,Dec-15,3.039719048
1135104,Jan-16,3.034947368
997121,Feb-16,2.975744444
1125822,Mar-16,2.966195652
1014016,Apr-16,2.887157143
1130075,May-16,2.950533333
1194314,Jun-16,3.012728571
1059679,Jul-16,2.973894737
1075069,Aug-16,2.990286364
1095495,Sep-16,3.022915
1130947,Oct-16,3.017345
998206,Nov-16,3.069472727
1317113,Dec-16,3.105575
1169157,Jan-17,3.119025
976491,Feb-17,3.139305556
1068479,Mar-17,3.157556522
956849,Apr-17,3.152436842
1047373,May-17,3.093090476
1082293,Jun-17,3.090663158
1019517,Jul-17,3.127028571
941474,Aug-17,3.147681818
1018273,Sep-17,3.118866667
952993,Oct-17,3.108495238
959897,Nov-17,3.076786364
1248917,Dec-17,3.026605263
974677,Jan-18,2.994
788733,Feb-18,2.962188889
904058,Mar-18,2.968131818
739975,Apr-18,2.9538
788447,May-18,2.962
999336,Jun-18,2.96747
846951,Jul-18,2.970290909
876124,Aug-18,2.988438095
911816,Sep-18,3.020311765
853921,Oct-18,3.015034783
866272,Nov-18,3.0427
1065676,Dec-18,3.044045
837971,Jan-19,3.035009524
813186,Feb-19,3.009323529
974968,Mar-19,3.012552381
843736,Apr-19,3.034077273
894454,May-19,3.04263
1017251,Jun-19,3.053794444
853531,Jul-19,3.032040909
870657,Aug-19,3.023390476
763001,Sep-19,3.032638889
744314,Oct-19,3.053231818
738951,Nov-19,3.054028571
811862,Dec-19,3.056357143
737477,Jan-20,3.0209
494638,Feb-20,2.994185
309476,Mar-20,3.03465
69,Apr-20,3.056490909
55,May-20,3.06110625
105,Jun-20,3.067414286
257,Jul-20,3.073136364
381,Aug-20,3.058789474
1169,Sep-20,3.039414286
709,Oct-20,3.054438095
574,Nov-20,3.051414286
345,Dec-20,3.044554545
332,Jan-21,3.046905263
285,Feb-21,3.048872222
349,Mar-21,3.061586957
324,Apr-21,3.088919048
193,May-21,3.103116667
108,Jun-21,3.100790476
143,Jul-21,3.10012381
147,Aug-21,3.11618
154,Sep-21,3.091052381
300,Oct-21,3.0809
935,Nov-21,3.079685714
13038,Dec-21,3.089786957
7143,Jan-22,3.10234
6259,Feb-22,3.109983333
15728,Mar-22,3.089695652
262280,Apr-22,3.124435
400621,May-22,3.172688889
577133,Jun-22,3.178431818
540673,Jul-22,3.181504762
513609,Aug-22,3.227709091
649689,Sep-22,3.213995238
639880,Oct-22,3.295473684
656934,Nov-22,3.332495
953042,Dec-22,3.263838095
